subID,methods,collective,Score
1,AI,Collective,7
1,code,Collective,5
1,graph,Collective,4
1,AI,Personal,6
1,code,Personal,2
1,graph,Personal,6
2,AI,Collective,6
2,code,Collective,6
2,graph,Collective,5
2,AI,Personal,6
2,code,Personal,5
2,graph,Personal,7
3,AI,Collective,4
3,code,Collective,4
3,graph,Collective,7
3,AI,Personal,7
3,code,Personal,7
3,graph,Personal,3
4,AI,Collective,5
4,code,Collective,7
4,graph,Collective,7
4,AI,Personal,7
4,code,Personal,3
4,graph,Personal,5
5,AI,Collective,4
5,code,Collective,4
5,graph,Collective,6
5,AI,Personal,5
5,code,Personal,6
5,graph,Personal,5
6,AI,Collective,4
6,code,Collective,5
6,graph,Collective,6
6,AI,Personal,6
6,code,Personal,7
6,graph,Personal,6
7,AI,Collective,6
7,code,Collective,5
7,graph,Collective,6
7,AI,Personal,6
7,code,Personal,6
7,graph,Personal,3
8,AI,Collective,5
8,code,Collective,6
8,graph,Collective,4
8,AI,Personal,5
8,code,Personal,4
8,graph,Personal,6
9,AI,Collective,2
9,code,Collective,2
9,graph,Collective,3
9,AI,Personal,3
9,code,Personal,2
9,graph,Personal,3
10,AI,Collective,6
10,code,Collective,5
10,graph,Collective,6
10,AI,Personal,7
10,code,Personal,5
10,graph,Personal,6
11,AI,Collective,5
11,code,Collective,4
11,graph,Collective,5
11,AI,Personal,5
11,code,Personal,5
11,graph,Personal,3
12,AI,Collective,6
12,code,Collective,2
12,graph,Collective,2
12,AI,Personal,5
12,code,Personal,3
12,graph,Personal,3
13,AI,Collective,5
13,code,Collective,5
13,graph,Collective,6
13,AI,Personal,2
13,code,Personal,2
13,graph,Personal,6
14,AI,Collective,5
14,code,Collective,3
14,graph,Collective,6
14,AI,Personal,3
14,code,Personal,4
14,graph,Personal,7
15,AI,Collective,5
15,code,Collective,5
15,graph,Collective,4
15,AI,Personal,5
15,code,Personal,5
15,graph,Personal,4
16,AI,Collective,6
16,code,Collective,6
16,graph,Collective,5
16,AI,Personal,5
16,code,Personal,3
16,graph,Personal,5
